store,movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,category,purity,gross_weight,net_weight,stone_weight,fine_weight,value,gold_rate_used,created_at,slab_id,slab_label,item_label_no,item_huid,item_item_name,item_category,item_purity,item_gross_weight,item_net_weight,item_stone_weight,item_fine_weight,item_pieces,item_design_code,item_certificate_no,item_supplier_id,item_location,item_slab_id,item_created_at,acct_account_id,customer_name,customer_type,customer_credit_terms,customer_contact
STORE_6,1,STORE_6_V10000,2025-08-01,SALE,117,LBL00125,BRACELET,916,28.631,28.379,0.025,25.995,156370.84,5661.73,2025-08-01,20,15–30 GM,LBL00125,H587467,BRACELET LBL00125,BRACELET,916,32.428,32.215,0.229,29.509,1,DES2932,,5006,MAIN_STORE,21,2025-11-24 11:50:05.205442,117,Customer_117,Customer,Net 0,+917368570209
STORE_6,2,STORE_6_V10001,2025-08-01,SALE,103,LBL00083,CHAIN,916,10.829,10.494,0.049,9.613,60289.5,5749.86,2025-08-01,19,5–15 GM,LBL00083,H905579,CHAIN LBL00083,CHAIN,916,9.71,9.415,0.0,8.624,1,DES3799,,5010,MAIN_STORE,2,2025-11-24 11:50:05.097466,103,Customer_103,Customer,Net 30,+919473979489
STORE_6,3,STORE_6_V10002,2025-08-01,SALE,74,LBL00213,PENDANT,585,4.959,4.669,0.0,2.731,15567.07,5480.55,2025-08-01,1,0–5 GM,LBL00213,H977394,PENDANT LBL00213,PENDANT,585,5.854,5.747,0.066,3.362,1,DES8972,,5003,MAIN_STORE,10,2025-11-24 11:50:05.432167,74,Customer_74,Customer,Net 0,+918371454094
STORE_6,4,STORE_6_V10003,2025-08-01,SALE,62,LBL00241,NECKLACE,585,58.701,58.501,0.014,34.223,212064.39,5732.02,2025-08-01,9,10+ GM,LBL00241,H240800,NECKLACE LBL00241,NECKLACE,585,60.793,60.51,0.002,35.398,1,DES1190,,5002,MAIN_STORE,13,2025-11-24 11:50:05.499098,62,Customer_62,Customer,Net 0,+919556498528
STORE_6,5,STORE_6_V10004,2025-08-01,SALE,119,LBL00041,RING,916,8.567,8.26,0.049,7.566,45964.61,5609.28,2025-08-01,10,0–10 GM,LBL00041,H237935,RING LBL00041,RING,916,8.837,8.59,0.038,7.869,1,DES4026,,5000,MAIN_STORE,8,2025-11-24 11:50:04.976541,119,Customer_119,Customer,Net 0,+919667185159
STORE_6,6,STORE_6_V10005,2025-08-01,SALE,12,LBL00071,EARRING,916,10.492,9.911,0.0,9.078,52905.8,5433.16,2025-08-01,19,5–15 GM,LBL00071,H194834,EARRING LBL00071,EARRING,916,9.556,9.174,0.076,8.404,1,DES9202,,5003,MAIN_STORE,16,2025-11-24 11:50:05.056316,12,Customer_12,Customer,Net 30,+919821263164
STORE_6,7,STORE_6_V10006,2025-08-01,SALE,114,LBL00176,BRACELET,585,28.885,28.295,0.0,16.553,93207.78,5456.11,2025-08-01,20,15–30 GM,LBL00176,H753205,BRACELET LBL00176,BRACELET,585,28.818,28.392,0.032,16.61,1,DES9422,,5003,MAIN_STORE,20,2025-11-24 11:50:05.341200,114,Customer_114,Customer,Net 15,+917192747606
STORE_6,8,STORE_6_V10007,2025-08-01,SALE,84,LBL00192,RING,916,5.382,5.302,0.062,4.857,29217.29,5528.45,2025-08-01,10,0–10 GM,LBL00192,H817727,RING LBL00192,RING,916,5.634,5.45,0.008,4.992,1,DES8625,,5015,MAIN_STORE,8,2025-11-24 11:50:05.378425,84,Customer_84,Customer,Net 15,+918244608630
STORE_6,9,STORE_6_V10008,2025-08-01,SALE,79,LBL00069,EARRING,750,8.468,8.218,0.001,6.163,36637.09,5481.11,2025-08-01,10,0–10 GM,LBL00069,H408721,EARRING LBL00069,EARRING,750,9.006,8.692,0.091,6.519,1,DES1893,,5016,MAIN_STORE,16,2025-11-24 11:50:05.051106,79,Customer_79,Customer,Net 0,+919893241312
STORE_6,10,STORE_6_V10009,2025-08-01,SALE,114,LBL00080,RING,750,2.705,2.629,0.022,1.972,11965.89,5653.18,2025-08-01,1,0–5 GM,LBL00080,H649262,RING LBL00080,RING,750,2.754,2.464,0.018,1.848,1,DES7292,,5016,MAIN_STORE,7,2025-11-24 11:50:05.087851,114,Customer_114,Customer,Net 15,+917192747606
STORE_6,11,STORE_6_V10010,2025-08-02,SALE,104,LBL00234,CHAIN,585,27.964,27.925,0.0,16.336,94747.18,5585.59,2025-08-02,20,15–30 GM,LBL00234,H552686,CHAIN LBL00234,CHAIN,585,28.417,28.026,0.014,16.396,1,DES7459,,5010,MAIN_STORE,4,2025-11-24 11:50:05.481676,104,Customer_104,Customer,Net 0,+917483312111
STORE_6,12,STORE_6_V10011,2025-08-02,SALE,15,LBL00214,BRACELET,916,30.147,29.903,0.0,27.391,158358.65,5286.39,2025-08-02,12,20–40 GM,LBL00214,H720928,BRACELET LBL00214,BRACELET,916,31.91,31.651,0.024,28.992,1,DES8584,,5010,MAIN_STORE,21,2025-11-24 11:50:05.434565,15,Customer_15,Customer,Net 30,+919397199956
STORE_6,13,STORE_6_V10012,2025-08-03,SALE,82,LBL00167,NECKLACE,750,29.644,29.542,0.003,22.157,136024.75,5599.89,2025-08-03,20,15–30 GM,LBL00167,H820426,NECKLACE LBL00167,NECKLACE,750,30.997,30.84,0.024,23.13,1,DES2426,,5010,MAIN_STORE,12,2025-11-24 11:50:05.313215,82,Customer_82,Customer,Net 30,+919167796058
STORE_6,14,STORE_6_V10013,2025-08-03,SALE,96,LBL00203,CHAIN,916,60.245,60.108,0.017,55.059,325762.11,5497.82,2025-08-03,9,10+ GM,LBL00203,H441699,CHAIN LBL00203,CHAIN,916,54.844,54.493,0.0,49.916,1,DES2162,,5009,MAIN_STORE,5,2025-11-24 11:50:05.407051,96,Customer_96,Customer,Net 15,+919801385697
STORE_6,15,STORE_6_V10014,2025-08-03,SALE,81,LBL00146,BANGLE,916,2.839,2.522,0.009,2.31,14877.62,5721.32,2025-08-03,1,0–5 GM,LBL00146,H981578,BANGLE LBL00146,BANGLE,916,2.829,2.716,0.0,2.488,1,DES1510,,5010,MAIN_STORE,18,2025-11-24 11:50:05.256739,81,Customer_81,Customer,Net 15,+919556073288
STORE_6,16,STORE_6_V10015,2025-08-03,SALE,82,LBL00206,EARRING,916,7.264,6.738,0.0,6.172,37168.65,5792.45,2025-08-03,10,0–10 GM,LBL00206,H751034,EARRING LBL00206,EARRING,916,7.433,7.267,0.006,6.657,1,DES4992,,5017,MAIN_STORE,16,2025-11-24 11:50:05.414642,82,Customer_82,Customer,Net 30,+919167796058
STORE_6,17,STORE_6_V10016,2025-08-03,SALE,71,LBL00077,BRACELET,916,37.767,37.754,0.017,34.583,200263.47,5538.62,2025-08-03,12,20–40 GM,LBL00077,H825318,BRACELET LBL00077,BRACELET,916,32.413,32.33,0.022,29.614,1,DES3686,,5003,MAIN_STORE,21,2025-11-24 11:50:05.078353,71,Customer_71,Customer,Net 30,+919715250922
STORE_6,18,STORE_6_V10017,2025-08-03,SALE,113,LBL00204,BRACELET,916,4.342,4.021,0.049,3.683,23574.57,5572.47,2025-08-03,1,0–5 GM,LBL00204,H658624,BRACELET LBL00204,BRACELET,916,5.449,5.139,0.0,4.707,1,DES8552,,5012,MAIN_STORE,19,2025-11-24 11:50:05.409568,113,Customer_113,Customer,Net 30,+917626285594
STORE_6,19,STORE_6_V10018,2025-08-03,SALE,34,LBL00084,RING,750,5.222,5.051,0.0,3.788,23714.46,5643.83,2025-08-03,10,0–10 GM,LBL00084,H692960,RING LBL00084,RING,750,5.506,5.306,0.022,3.979,1,DES3459,,5005,MAIN_STORE,8,2025-11-24 11:50:05.100188,34,Customer_34,Customer,Net 30,+918091304489
STORE_6,20,STORE_6_V10019,2025-08-03,SALE,79,LBL00011,BRACELET,916,27.883,27.348,0.043,25.051,163341.05,5890.95,2025-08-03,20,15–30 GM,LBL00011,H430779,BRACELET LBL00011,BRACELET,916,27.37,27.067,0.032,24.793,1,DES8940,,5019,MAIN_STORE,20,2025-11-24 11:50:04.905797,79,Customer_79,Customer,Net 0,+919893241312
STORE_6,21,STORE_6_V10020,2025-08-03,SALE,82,LBL00104,EARRING,916,13.404,12.981,0.007,11.891,73990.81,5674.83,2025-08-03,19,5–15 GM,LBL00104,H537211,EARRING LBL00104,EARRING,916,13.842,13.478,0.011,12.346,1,DES3920,,5005,MAIN_STORE,17,2025-11-24 11:50:05.155665,82,Customer_82,Customer,Net 30,+919167796058
STORE_6,22,STORE_6_V10021,2025-08-03,SALE,119,LBL00102,BANGLE,916,30.504,30.083,0.012,27.556,157008.17,5270.02,2025-08-03,12,20–40 GM,LBL00102,H978721,BANGLE LBL00102,BANGLE,916,30.884,30.814,0.057,28.226,1,DES5889,,5010,MAIN_STORE,21,2025-11-24 11:50:05.150463,119,Customer_119,Customer,Net 0,+919667185159
STORE_6,23,STORE_6_V10022,2025-08-03,SALE,91,LBL00040,BANGLE,916,32.09,31.767,0.008,29.099,186377.65,5753.3,2025-08-03,12,20–40 GM,LBL00040,H916953,BANGLE LBL00040,BANGLE,916,33.668,33.194,0.0,30.406,1,DES4079,,5003,MAIN_STORE,21,2025-11-24 11:50:04.973904,91,Customer_91,Customer,Net 15,+919155313861
STORE_6,24,STORE_6_V10023,2025-08-04,SALE,65,LBL00206,EARRING,916,7.189,6.964,0.0,6.379,37366.19,5286.13,2025-08-04,10,0–10 GM,LBL00206,H751034,EARRING LBL00206,EARRING,916,7.433,7.267,0.006,6.657,1,DES4992,,5017,MAIN_STORE,16,2025-11-24 11:50:05.414642,65,Customer_65,Customer,Net 15,+917337057834
STORE_6,25,STORE_6_V10024,2025-08-04,SALE,42,LBL00092,EARRING,916,12.455,12.019,0.0,11.009,69915.47,5840.54,2025-08-04,19,5–15 GM,LBL00092,H669902,EARRING LBL00092,EARRING,916,11.102,10.966,0.016,10.045,1,DES1094,,5019,MAIN_STORE,17,2025-11-24 11:50:05.123491,42,Customer_42,Customer,Net 0,+917922656948
STORE_6,26,STORE_6_V10025,2025-08-04,SALE,44,LBL00117,RING,750,2.26,1.734,0.014,1.3,8300.28,5878.64,2025-08-04,1,0–5 GM,LBL00117,H607157,RING LBL00117,RING,750,2.156,2.123,0.0,1.592,1,DES5705,,5013,MAIN_STORE,7,2025-11-24 11:50:05.187422,44,Customer_44,Customer,Net 30,+918185226852
STORE_6,27,STORE_6_V10026,2025-08-04,SALE,34,LBL00107,NECKLACE,750,15.089,14.951,0.037,11.213,67416.86,5566.55,2025-08-04,11,10–20 GM,LBL00107,H885734,NECKLACE LBL00107,NECKLACE,750,14.04,13.718,0.01,10.289,1,DES6901,,5001,MAIN_STORE,11,2025-11-24 11:50:05.163016,34,Customer_34,Customer,Net 30,+918091304489
STORE_6,28,STORE_6_V10027,2025-08-04,SALE,96,LBL00074,NECKLACE,916,28.527,28.284,0.028,25.908,153508.35,5780.38,2025-08-04,20,15–30 GM,LBL00074,H572788,NECKLACE LBL00074,NECKLACE,916,29.24,29.01,0.026,26.574,1,DES1408,,5005,MAIN_STORE,12,2025-11-24 11:50:05.067827,96,Customer_96,Customer,Net 15,+919801385697
STORE_6,29,STORE_6_V10028,2025-08-05,SALE,44,LBL00213,PENDANT,585,5.511,5.453,0.07,3.19,21375.59,5895.78,2025-08-05,10,0–10 GM,LBL00213,H977394,PENDANT LBL00213,PENDANT,585,5.854,5.747,0.066,3.362,1,DES8972,,5003,MAIN_STORE,10,2025-11-24 11:50:05.432167,44,Customer_44,Customer,Net 30,+918185226852
STORE_6,30,STORE_6_V10029,2025-08-05,SALE,59,LBL00017,RING,916,2.532,2.237,0.001,2.049,12585.07,5634.4,2025-08-05,1,0–5 GM,LBL00017,H880550,RING LBL00017,RING,916,2.942,2.77,0.176,2.537,1,DES3572,,5000,MAIN_STORE,7,2025-11-24 11:50:04.920603,59,Customer_59,Customer,Net 15,+917742610535
STORE_6,31,STORE_6_V10030,2025-08-05,SALE,13,LBL00077,BRACELET,916,31.793,31.315,0.078,28.685,171681.66,5467.42,2025-08-05,12,20–40 GM,LBL00077,H825318,BRACELET LBL00077,BRACELET,916,32.413,32.33,0.022,29.614,1,DES3686,,5003,MAIN_STORE,21,2025-11-24 11:50:05.078353,13,Customer_13,Customer,Net 0,+919448250186
STORE_6,32,STORE_6_V10031,2025-08-05,SALE,118,LBL00110,EARRING,750,14.443,14.27,0.018,10.703,67930.23,5767.92,2025-08-05,19,5–15 GM,LBL00110,H895284,EARRING LBL00110,EARRING,750,13.046,12.81,0.0,9.607,1,DES8001,,5017,MAIN_STORE,17,2025-11-24 11:50:05.170480,118,Customer_118,Customer,Net 0,+917234238999
STORE_6,33,STORE_6_V10032,2025-08-05,SALE,100,LBL00133,EARRING,916,7.867,7.477,0.048,6.849,41067.43,5539.58,2025-08-05,10,0–10 GM,LBL00133,H819150,EARRING LBL00133,EARRING,916,7.756,7.598,0.026,6.96,1,DES6460,,5010,MAIN_STORE,16,2025-11-24 11:50:05.225144,100,Customer_100,Customer,Net 0,+918040735415
STORE_6,34,STORE_6_V10033,2025-08-05,SALE,100,LBL00098,BANGLE,916,38.6,38.402,0.0,35.176,202592.65,5483.58,2025-08-05,12,20–40 GM,LBL00098,H759172,BANGLE LBL00098,BANGLE,916,36.586,36.203,0.153,33.162,1,DES4401,,5001,MAIN_STORE,21,2025-11-24 11:50:05.140154,100,Customer_100,Customer,Net 0,+918040735415
STORE_6,35,STORE_6_V10034,2025-08-05,SALE,34,LBL00157,BRACELET,750,16.477,16.084,0.0,12.063,73442.71,5443.73,2025-08-05,11,10–20 GM,LBL00157,H565330,BRACELET LBL00157,BRACELET,750,16.886,16.756,0.053,12.567,1,DES9290,,5000,MAIN_STORE,20,2025-11-24 11:50:05.287367,34,Customer_34,Customer,Net 30,+918091304489
